id,docking_score,num_conformers,smiles,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
8441,-10.8267355,147,CC1CCC(Nc2ccc(NC3=CNC(O)C=C3)c(C(=O)OCC=CC=C=[C-]O)c2)[N-]C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1[N-]CC(CC1)C,C24H28N4O4,436.5,32,6,0.33,9,5,5,130.09,102.85,2.05,3.44,2.56,1.57,1.38,2.2,-4.26,0.0241,5.52e-05,Moderately soluble,-5.28,0.00229,5.24e-06,Moderately soluble,-3.41,0.169,0.000388,Soluble,High,No,Yes,No,No,Yes,No,No,-6.52,0,1,0,0,0,0.55,0,3,2,5.17
8522,-10.797273,167,CC1CCCC(Nc2ccc(NC3=CNC(O)C=C3)c(C(=O)OCC=CC=C=[C-]O)c2)[N-]1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCCC([N-]1)C,C24H28N4O4,436.5,32,6,0.33,9,5,5,130.09,102.85,1.75,3.43,2.7,1.57,1.38,2.17,-4.25,0.0244,5.6e-05,Moderately soluble,-5.27,0.00234,5.37e-06,Moderately soluble,-3.41,0.169,0.000388,Soluble,High,No,Yes,No,No,Yes,No,No,-6.53,0,1,0,0,0,0.55,0,3,2,5.16
14094,-10.767446,62,O=C(O)c1cc(CC=CC=C=[C-]ONC2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,OC1NC=C(C=C1)Nc1ccc(cc1C(=O)O)CC=CC=C=[C-]ONC1CCCCC1,C24H28N3O4,422.5,31,6,0.33,9,5,5,122.8,102.85,4.22,2.16,2.97,1.39,2.22,2.59,-3.37,0.18,0.000427,Soluble,-3.95,0.0471,0.000112,Soluble,-3.5,0.135,0.000319,Soluble,High,No,Yes,No,No,Yes,No,No,-7.34,0,0,0,0,0,0.56,0,4,2,4.77
20396,-10.694775,24,O=C([C-]OOCC=CC=C=[C-]O)c1cc(NC2CCCCC2)ccc1NC1=CNCC=C1,Molecule 1,O[C-]=C=CC=CCOO[C-]C(=O)c1cc(ccc1NC1=CNCC=C1)NC1CCCCC1,C25H28N3O4,434.51,32,6,0.36,11,4,4,127.5,91.85,0.0,4.54,3.84,1.48,3.06,2.58,-4.81,0.00678,1.56e-05,Moderately soluble,-6.19,0.00028,6.44e-07,Poorly soluble,-4.43,0.016,3.69e-05,Moderately soluble,High,No,Yes,No,Yes,No,No,No,-5.73,0,0,1,0,0,0.56,0,4,3,4.35
15746,-10.69422,42,O=C(OCC=CC=C=[C-]O)C1=C[C+](=NC2CCCCC2)=CC=C1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCOC(=O)C1=C[C+](=CC=C1NC1=CNC(C=C1)O)=NC1CCCCC1,C24H27N3O4,421.49,31,0,0.33,8,5,4,122.66,103.18,0.0,4.82,2.52,1.07,2.33,2.15,-4.96,0.0046,1.09e-05,Moderately soluble,-6.72,8.04e-05,1.91e-07,Poorly soluble,-1.9,5.36,0.0127,Soluble,High,No,No,No,Yes,Yes,No,No,-5.45,0,0,0,0,0,0.55,0,4,3,5.32
26818,-10.675701,45,[N-]=C1CCC(Nc2ccc(NC3=CNC(O)C=C3)c(C(=O)OCC=CC=C=[C-]O)c2)CC1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCC(=[N-])CC1,C24H26N4O4,434.49,32,6,0.29,9,5,5,127.9,102.85,3.44,2.74,2.76,1.09,2.06,2.42,-3.8,0.0681,0.000157,Soluble,-4.55,0.0121,2.79e-05,Moderately soluble,-3.52,0.132,0.000304,Soluble,High,No,Yes,No,No,Yes,No,Yes,-7.0,0,0,0,0,0,0.56,0,4,2,4.65
4161,-10.62962,40,C=CCCCC[P-]=Nc1ccc(NC2=C(N)C(O)C=C2)c(C(=O)OCC=CC=C=[C-]O)c1,Molecule 1,C=CCCCC[P-]=Nc1ccc(c(c1)C(=O)OCC=CC=C=[C-]O)NC1=C(N)C(C=C1)O,C24H27N3O4P,452.46,32,6,0.25,13,5,4,127.53,151.31,0.0,3.13,4.87,1.4,3.49,2.58,-3.9,0.0572,0.000126,Soluble,-5.98,0.000477,1.06e-06,Moderately soluble,-4.01,0.0442,9.77e-05,Moderately soluble,Low,No,Yes,No,No,Yes,No,No,-6.84,0,0,2,1,1,0.11,0,5,2,4.82
8812,-10.621799,147,CC1CC[C-]CC1Nc1ccc(NC2=CNC(O)C=C2)c(C(=O)OCC=CC=C=[C-]O)c1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1C[C-]CCC1C,C25H28N3O4,434.51,32,6,0.36,9,4,5,127.58,102.85,0.0,4.67,3.08,2.16,2.35,2.45,-5.02,0.00414,9.53e-06,Moderately soluble,-6.56,0.00012,2.77e-07,Poorly soluble,-3.64,0.0998,0.00023,Soluble,High,No,Yes,No,No,Yes,No,Yes,-5.63,0,0,0,0,0,0.56,0,3,3,5.17
4718,-10.619915,21,C=CCSCCCNc1ccc(NC2=C(N)C(O)C=C2)c(C(=O)OCC=CC=C=[C-]O)c1,Molecule 1,C=CCSCCCNc1ccc(c(c1)C(=O)OCC=CC=C=[C-]O)NC1=C(N)C(C=C1)O,C24H28N3O4S,454.56,32,6,0.25,14,4,5,129.56,142.14,3.82,3.28,3.28,1.47,3.15,3.0,-3.94,0.0523,0.000115,Soluble,-5.94,0.000522,1.15e-06,Moderately soluble,-4.01,0.0442,9.73e-05,Moderately soluble,Low,No,Yes,No,No,Yes,No,Yes,-6.74,0,0,2,1,0,0.56,0,4,2,4.68
20552,-10.6145115,36,O=C1CCC(Nc2ccc(NC3=CNC(O)C=C3)c(C(=O)OCC=CC=C=[C-]O)c2)CC1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCC(=O)CC1,C24H26N3O5,436.48,32,6,0.29,9,5,5,124.54,119.92,3.43,2.65,2.32,1.09,1.93,2.28,-3.76,0.0758,0.000174,Soluble,-4.82,0.00662,1.52e-05,Moderately soluble,-3.37,0.186,0.000426,Soluble,High,No,Yes,No,No,Yes,No,No,-7.08,0,0,0,0,0,0.56,0,3,2,4.64
20326,-10.608415,12,O=C(O[O-])c1cc(NC2CCCCC2)ccc1NC1=CNC(OCC=C=[C-]O)C=C1,Molecule 1,O[C-]=C=CCOC1NC=C(C=C1)Nc1ccc(cc1C(=O)O[O-])NC1CCCCC1,C22H25N3O5,411.45,30,6,0.36,9,5,4,114.75,114.91,3.33,3.63,2.96,1.62,1.15,2.54,-4.23,0.0241,5.86e-05,Moderately soluble,-5.73,0.000764,1.86e-06,Moderately soluble,-3.16,0.287,0.000698,Soluble,High,No,Yes,No,No,Yes,No,Yes,-6.23,0,0,0,0,0,0.56,0,3,3,4.68
18588,-10.600318,98,O=C(OCC=CC=C=[C-]O)c1cc(NC2[C-]CCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1[C-]CCCC1,C24H26N3O4,420.48,31,6,0.33,9,4,5,122.77,102.85,0.0,4.23,2.83,1.95,2.22,2.25,-4.66,0.00918,2.18e-05,Moderately soluble,-6.1,0.000334,7.93e-07,Poorly soluble,-3.5,0.134,0.000319,Soluble,High,No,Yes,No,No,Yes,No,No,-5.86,0,0,0,0,0,0.56,0,3,3,4.87
18926,-10.597511,64,O=C(OCC=CC=C=[C-]O)c1cc(N[N-]C2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(N[N-]C2CCCCC2)ccc1NC1=CNC(C=C1)O,C24H28N4O4,436.5,32,6,0.33,10,5,5,127.7,102.85,2.9,3.99,3.43,1.97,1.45,2.75,-4.54,0.0126,2.89e-05,Moderately soluble,-5.85,0.000614,1.41e-06,Moderately soluble,-3.53,0.128,0.000293,Soluble,High,No,Yes,No,No,Yes,No,Yes,-6.13,0,0,0,0,0,0.56,0,3,3,4.79
22994,-10.5855255,32,O[C-]OC=CC=C(O)c1cc(NC2CCCCC2)ccc1NC1=CNCC=C1,Molecule 1,O[C-]OC=CC=C(c1cc(ccc1NC1=CNCC=C1)NC1CCCCC1)O,C22H27N3O3,381.47,28,6,0.36,8,3,5,115.87,85.78,0.0,4.64,3.88,1.4,2.17,2.42,-4.76,0.00665,1.74e-05,Moderately soluble,-6.17,0.000259,6.8e-07,Poorly soluble,-3.77,0.0646,0.000169,Soluble,High,No,Yes,No,No,No,No,No,-5.33,0,0,0,0,0,0.56,0,3,3,4.15
26911,-10.539134,111,[N-]=CNC1C=C(NC2=CNC(O)C=C2)C(C(=O)OCC=CC=C=[C-]O)=C1,Molecule 1,[N-]=CNC1C=C(C(=C1)C(=O)OCC=CC=C=[C-]O)NC1=CNC(C=C1)O,C18H18N4O4,354.36,26,0,0.17,9,5,5,98.84,102.85,0.21,0.82,0.02,-0.16,-0.15,0.15,-1.96,3.89,0.011,Very soluble,-2.56,0.972,0.00274,Soluble,-0.35,158.0,0.447,Soluble,High,No,No,No,No,No,No,No,-7.88,0,0,0,0,0,0.56,0,5,2,4.98
26936,-10.5379505,94,[N-]=NC1C=C(NC2=CNC(O)C=C2)C(C(=O)OCC=CC=C=[C-]O)=C1,Molecule 1,[N-]=NC1C=C(C(=C1)C(=O)OCC=CC=C=[C-]O)NC1=CNC(C=C1)O,C17H16N4O4,340.33,25,0,0.18,8,6,4,92.41,103.18,2.78,2.19,0.86,-0.39,0.41,1.17,-2.8,0.537,0.00158,Soluble,-3.99,0.0348,0.000102,Soluble,-0.31,166.0,0.488,Soluble,High,No,No,No,No,Yes,No,No,-6.82,0,0,0,0,0,0.56,1,4,1,4.96
8745,-10.534158,49,CC1CCC[C-](Nc2ccc(NC3=CNC(O)C=C3)c(C(=O)OCC=CC=C=[C-]O)c2)C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)N[C-]1CCCC(C1)C,C25H29N3O4,435.52,32,6,0.36,9,4,5,128.64,102.85,2.3,4.67,3.55,2.16,2.35,3.01,-5.03,0.00409,9.4e-06,Moderately soluble,-6.56,0.000121,2.77e-07,Poorly soluble,-3.64,0.1,0.00023,Soluble,High,No,Yes,No,No,Yes,No,Yes,-5.64,0,0,0,0,0,0.56,0,3,3,5.03
7331,-10.53312,57,CC([C-]O)=CCOC(=O)c1cc(NCCCCC[O-])ccc1NC1=CNC(O)C=C1,Molecule 1,[O-]CCCCCNc1ccc(c(c1)C(=O)OCC=C([C-]O)C)NC1=CNC(C=C1)O,C22H28N3O5,414.47,30,6,0.41,13,5,5,117.3,125.91,0.0,2.87,2.18,0.89,1.83,1.55,-3.51,0.129,0.000311,Soluble,-5.17,0.00278,6.71e-06,Moderately soluble,-4.17,0.0277,6.68e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-6.79,0,0,1,0,0,0.56,0,1,2,4.58
26495,-10.5177965,110,[C-]CC(CCCC)Nc1ccc(NC2=CNC(O)C=C2)c(C(=O)OCC=CC=C=[C-]O)c1,Molecule 1,CCCCC(Nc1ccc(c(c1)C(=O)OCC=CC=C=[C-]O)NC1=CNC(C=C1)O)C[C-],C25H29N3O4,435.52,32,6,0.36,13,4,5,128.64,102.85,0.0,5.17,3.35,2.16,3.3,2.79,-5.08,0.00364,8.36e-06,Moderately soluble,-7.08,3.66e-05,8.4e-08,Poorly soluble,-4.49,0.0142,3.27e-05,Moderately soluble,High,No,Yes,No,No,Yes,No,No,-5.29,0,0,1,0,1,0.56,0,3,3,5.03
11335,-10.506713,49,C[N-]CCCCCNC1=C(C)C(NC2=CNC(O)C=C2)C(C(=O)OCC=CC=C=[C-]O)=C1,Molecule 1,C[N-]CCCCCNC1=C(C)C(C(=C1)C(=O)OCC=CC=C=[C-]O)NC1=CNC(C=C1)O,C24H32N4O4,440.54,32,0,0.42,14,5,5,127.49,102.85,3.61,2.08,1.99,0.43,1.81,1.98,-2.96,0.486,0.0011,Soluble,-3.87,0.0595,0.000135,Soluble,-3.25,0.246,0.000558,Soluble,High,No,Yes,No,No,Yes,No,No,-7.51,0,0,1,0,0,0.55,0,3,2,5.62
26433,-10.498398,82,[C-]C(C=CC=C=[C-]O)OC(=O)c1cc(NC2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CC(OC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCCCC1)[C-],C25H27N3O4,433.5,32,6,0.36,9,4,5,126.52,102.85,0.0,4.63,3.1,2.16,2.46,2.47,-4.99,0.00444,1.02e-05,Moderately soluble,-6.52,0.000132,3.05e-07,Poorly soluble,-3.51,0.133,0.000307,Soluble,High,No,Yes,No,No,Yes,No,No,-5.66,0,0,0,0,0,0.56,0,3,3,4.97
11458,-10.460867,139,C[PH]1=NC(c2ccc(NC3=CNC(O)C=C3)c(C(=O)OCC=CC=C=[C-]O)c2)CC1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)C1CCP(=N1)C,C22H25N3O4P,426.43,30,6,0.27,8,5,4,125.51,126.65,0.0,2.38,2.36,1.18,4.16,2.02,-3.6,0.106,0.000249,Soluble,-4.68,0.0089,2.09e-05,Moderately soluble,-3.15,0.3,0.000703,Soluble,High,No,Yes,No,No,No,No,No,-7.21,0,0,0,0,0,0.56,0,4,2,5.1
23203,-10.454187,87,[C-]#CC(CCC)Nc1ccc(NC2=CNC(O)C=C2)c(C(=O)OCC=CC=C=[C-]O)c1,Molecule 1,CCCC(Nc1ccc(c(c1)C(=O)OCC=CC=C=[C-]O)NC1=CNC(C=C1)O)C#[C-],C24H25N3O4,419.47,31,6,0.25,11,4,5,122.91,102.85,3.05,3.82,2.57,1.88,2.71,2.81,-4.26,0.0228,5.44e-05,Moderately soluble,-5.68,0.000886,2.11e-06,Moderately soluble,-3.39,0.171,0.000408,Soluble,High,No,Yes,No,No,Yes,No,Yes,-6.15,0,0,1,0,0,0.56,0,4,3,4.93
7616,-10.446067,87,CC12C=C(NC3=CNC(O)C=C3)C(C(=O)OCC=CC=C=[C-]O)=CC1CCCC2,Molecule 1,O[C-]=C=CC=CCOC(=O)C1=CC2CCCCC2(C=C1NC1=CNC(C=C1)O)C,C23H27N2O4,395.47,29,0,0.39,7,4,4,114.15,90.82,2.18,4.19,2.66,1.81,2.02,2.57,-4.47,0.0134,3.39e-05,Moderately soluble,-5.81,0.000618,1.56e-06,Moderately soluble,-1.94,4.56,0.0115,Soluble,High,No,Yes,No,No,Yes,No,No,-5.74,0,0,0,0,0,0.56,0,3,2,5.54
8750,-10.432338,170,CC1CCC[N-]C1Nc1ccc(NC2=CNC(O)C=C2)c(C(=O)OCC=CC=C=[C-]O)c1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1[N-]CCCC1C,C24H28N4O4,436.5,32,6,0.33,9,5,5,130.09,102.85,4.21,3.44,2.56,1.57,1.38,2.63,-4.26,0.0241,5.52e-05,Moderately soluble,-5.28,0.00229,5.24e-06,Moderately soluble,-3.41,0.169,0.000388,Soluble,High,No,Yes,No,No,Yes,No,No,-6.52,0,1,0,0,0,0.55,0,3,2,5.17
7111,-10.405845,86,CC(C[O-])Nc1ccc(NC2=CNC(O)C=C2)c(C(=O)OCC=CC=C=[C-]O)c1,Molecule 1,[O-]CC(Nc1ccc(c(c1)C(=O)OCC=CC=C=[C-]O)NC1=CNC(C=C1)O)C,C21H23N3O5,397.42,29,6,0.24,10,5,5,111.66,125.91,0.43,2.17,1.63,0.52,1.06,1.16,-3.16,0.272,0.000685,Soluble,-4.45,0.0142,3.57e-05,Moderately soluble,-2.35,1.79,0.0045,Soluble,High,No,Yes,No,No,No,No,No,-7.18,0,0,0,0,0,0.56,0,3,2,4.75
16703,-10.404416,194,O=C(OCC=CC=C=[C-]O)c1cc(NC2CCCC([O+])C2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCCC(C1)[O+],C24H27N3O5,437.49,32,6,0.33,9,5,5,123.97,102.85,0.0,3.07,2.55,1.16,1.34,1.62,-4.03,0.0407,9.31e-05,Moderately soluble,-4.9,0.00555,1.27e-05,Moderately soluble,-2.67,0.925,0.00211,Soluble,High,No,Yes,No,No,No,No,No,-6.79,0,0,0,0,0,0.55,0,4,2,5.11
16700,-10.404416,194,O=C(OCC=CC=C=[C-]O)c1cc(NC2CCCC(O)C2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCCC(C1)O,C24H28N3O5,438.5,32,6,0.33,9,5,6,125.5,123.08,2.94,3.07,2.11,1.16,1.34,2.13,-4.04,0.0402,9.17e-05,Moderately soluble,-5.32,0.00209,4.77e-06,Moderately soluble,-2.67,0.927,0.00211,Soluble,High,No,Yes,No,No,Yes,No,No,-6.8,1,0,0,0,1,0.56,0,3,2,5.15
18841,-10.394434,49,O=C(OCC=CC=C=[C-]O)c1cc(NCCC[O-])ccc1NC1=CNC(O)C=C1,Molecule 1,[O-]CCCNc1ccc(c(c1)C(=O)OCC=CC=C=[C-]O)NC1=CNC(C=C1)O,C21H23N3O5,397.42,29,6,0.24,11,5,5,111.66,125.91,2.1,2.64,1.63,0.52,1.23,1.62,-3.39,0.16,0.000403,Soluble,-4.93,0.00462,1.16e-05,Moderately soluble,-2.72,0.757,0.00191,Soluble,High,No,Yes,No,No,Yes,No,No,-6.85,0,0,1,0,0,0.56,0,3,2,4.45
4918,-10.38491,192,C=CO[C-]C=CCOC(=O)c1cc(NC2CCCCC2O)ccc1NC1=CNC(O)C=C1,Molecule 1,C=CO[C-]C=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCCCC1O,C24H29N3O5,439.5,32,6,0.38,11,5,5,126.07,112.08,0.0,3.8,2.28,1.24,1.82,1.83,-4.37,0.0187,4.25e-05,Moderately soluble,-5.85,0.000623,1.42e-06,Moderately soluble,-3.71,0.0861,0.000196,Soluble,High,No,Yes,No,No,No,No,No,-6.28,0,0,1,0,0,0.56,0,2,3,5.19
3541,-10.361498,52,C=CC=CCO[C-]OC(=O)c1cc(NC2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,C=CC=CCO[C-]OC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCCCC1,C24H29N3O4,423.5,31,6,0.38,11,4,4,124.91,91.85,0.0,5.28,3.31,2.43,2.71,2.75,-5.21,0.00262,6.18e-06,Moderately soluble,-6.96,4.65e-05,1.1e-07,Poorly soluble,-4.53,0.0125,2.96e-05,Moderately soluble,High,No,Yes,No,No,Yes,No,Yes,-5.13,0,0,1,0,1,0.56,0,2,3,4.71
20319,-10.352878,50,O=C(O[N-]CC=CC=C=[C-]O)c1cc(NC2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CC[N-]OC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCCCC1,C24H28N4O4,436.5,32,6,0.33,10,5,5,127.7,102.85,3.74,4.0,3.43,1.97,1.45,2.92,-4.55,0.0124,2.85e-05,Moderately soluble,-5.86,0.0006,1.37e-06,Moderately soluble,-3.53,0.128,0.000293,Soluble,High,No,Yes,No,No,Yes,No,Yes,-6.12,0,0,0,0,0,0.56,0,4,3,4.79
